Spanish with frequency,Spanish,English
de 14459521,de ,of
que 14421005,que ,that
no 12379505,no ,no
a 9549646,a ,a
la 9125471,la ,the
el 7531226,el ,he
y 7128745,y ,and
es 6993497,es ,is
en 6817324,en ,in
lo 6041793,lo ,it
un 5605577,un ,a
por 4454673,por ,for
qué 4166708,qué ,what
me 3927712,me ,I
una 3846322,una ,a
los 3069193,los ,the
se 3058120,se ,HE
te 3034375,te ,tea
con 3028045,con ,with
para 2832100,para ,for
está 2433246,está ,this
mi 2403204,mi ,my
pero 2369484,pero ,but
sí 2350514,sí ,Yeah
si 2348665,si ,Yeah
bien 2045290,bien ,all right
eso 2029720,eso ,that
su 2005512,su ,his
las 2001203,las ,the
yo 1915934,yo ,I
del 1647872,del ,of
como 1630651,como ,What
aquí 1625090,aquí ,here
tu 1618746,tu ,you
al 1549489,al ,to the
más 1503527,más ,further
le 1432173,le ,you
esto 1297847,esto ,this
todo 1296897,todo ,everything
ya 1115265,ya ,Already
estoy 1092574,estoy ,I'm
ahora 1088174,ahora ,now
muy 1086248,muy ,very
ha 1071928,ha ,ha
esta 1051900,esta ,is
así 1050332,así ,So
vamos 1049315,vamos ,come on
algo 1039192,algo ,something
hay 1014288,hay ,there are
bueno 1012700,bueno ,Well
tengo 954371,tengo ,I have
él 931487,él ,he
cuando 931329,cuando ,when
estás 917354,estás ,these
sé 911639,sé ,he
tú 906053,tú ,your
nos 866968,nos ,us
nada 863844,nada ,nothing
cómo 862349,cómo ,What
este 858931,este ,East
o 843972,o ,either
he 820376,he ,He
ser 819688,ser ,be
tiene 807065,tiene ,has
puedo 806048,puedo ,I can
ella 800671,ella ,she
quiero 798831,quiero ,want
hacer 794408,hacer ,do
fue 781449,fue ,was
gracias 779503,gracias ,thank you
vez 767227,vez ,time
era 765725,era ,was
soy 745166,soy ,am
sólo 741588,sólo ,only
todos 686692,todos ,everyone
porque 685059,porque ,because
son 671394,son ,They are
tienes 670767,tienes ,have
creo 651433,creo ,believe
voy 639418,voy ,I go
sabes 636739,sabes ,You know
estaba 636659,estaba ,was
puede 631326,puede ,may
eres 630024,eres ,are
ese 624205,ese ,that
usted 618844,usted ,you
entonces 609938,entonces ,then
hola 601523,hola ,hello
solo 590343,solo ,only
verdad 589565,verdad ,TRUE
casa 587832,casa ,house
tan 573916,tan ,so
quién 566465,quién ,who
sus 562087,sus ,their
tiempo 556996,tiempo ,time
dos 556427,dos ,two
esa 553442,esa ,that
nunca 549997,nunca ,never
dónde 539643,dónde ,where
va 535397,va ,goes
oh 532776,oh ,Oh
favor 527629,favor ,favor
mucho 516361,mucho ,much
mí 515655,mí ,my
quieres 515465,quieres ,you want
siento 512907,siento ,I feel
señor 507728,señor ,Sir
mejor 500478,mejor ,better
hace 495352,hace ,does
has 492533,has ,you have
decir 492098,decir ,say
también 488057,también ,too
sobre 478020,sobre ,upon
dios 476939,dios ,God
sin 474770,sin ,without
tenemos 473895,tenemos ,we have
están 471887,están ,are
ti 470358,ti ,you
puedes 463318,puedes ,can
ver 462775,ver ,watch
hombre 460084,hombre ,man
vida 453649,vida ,life
alguien 447141,alguien ,somebody
cosas 424801,cosas ,things
siempre 424363,siempre ,forever
hasta 423321,hasta ,until
ahí 422871,ahí ,there
ir 411198,ir ,go
años 408547,años ,years
antes 405555,antes ,before
estar 402369,estar ,be
ni 401980,ni ,neither
poco 397739,poco ,little bit
día 395131,día ,day
uno 393047,uno ,one
noche 391078,noche ,night
hecho 391011,hecho ,done
mis 385798,mis ,my
estamos 376563,estamos ,we're
otra 368984,otra ,other
acuerdo 367329,acuerdo ,agreement
trabajo 363747,trabajo ,worked
nosotros 357836,nosotros ,us
parece 355615,parece ,seems
gente 354586,gente ,people
sea 352790,sea ,be
padre 351051,padre ,father
mira 349779,mira ,look
mismo 347834,mismo ,same
dijo 342900,dijo ,said
nadie 339772,nadie ,nobody
quiere 332148,quiere ,wants
podría 329332,podría ,could
hablar 327201,hablar ,talk
vas 327127,vas ,you go
ellos 323892,ellos ,they
sr. 321637,sr. ,Mr.
tal 317926,tal ,such
pasa 315529,pasa ,happens
fuera 311571,fuera ,outside
después 311500,después ,after
han 308501,han ,they have
desde 303620,desde ,from
dinero 300518,dinero ,money
mundo 298208,mundo ,world
claro 296584,claro ,Clear
momento 294559,momento ,moment
les 294439,les ,them
tener 292932,tener ,have
estado 292015,estado ,condition
otro 290565,otro ,other
había 289157,había ,there was
mañana 283391,mañana ,morning
tenía 282966,tenía ,I had
madre 281646,madre ,mother
vale 280447,vale ,OK
